排名,化合物名称,SMILES结构,分子量(molecular_weight),脂水分配系数(logP),氢键受体数(hydrogen_bond_acceptors),氢键供体数(hydrogen_bond_donors),Lipinski五规则(Lipinski),药物相似性(QED),拓扑极性表面积(tpsa),致突变性(AMES),血脑屏障穿透性(BBB_Martins),生物利用度(Bioavailability_Ma),人体肠道吸收(HIA_Hou),Caco-2细胞渗透性(Caco2_Wang),心脏毒性风险(hERG),CYP3A4酶抑制(CYP3A4_Veith),CYP2D6酶抑制(CYP2D6_Veith),CYP2C9酶抑制(CYP2C9_Veith),CYP1A2酶抑制(CYP1A2_Veith),肝细胞清除率(Clearance_Hepatocyte_AZ),半衰期(Half_Life_Obach),水溶性(Solubility_AqSolDB),综合评分,评级
1,2_5'-L-valyl-decitabine,O[C@H]1C[C@@H](O[C@@H]1COC([C@H](C(C)C)N)=O)N2C(N=C(N=C2)N)=O,327.34100000000007,-1.604599999999996,9,3,4.0,0.541579297596158,155.58,0.6698135942220688,0.8341762065887451,0.873457384109497,0.9912719845771789,-5.811882176060811,0.14175838232040405,0.005918293236754834,0.004003780968196225,0.008177989604882896,0.0019756175053771583,43.70001859885893,-10.409504020705532,-1.445660569588221,90.0,优秀
2,1_5'-L-valyl-gemcitabine,NC1=NC(N(C=C1)[C@@H](C(F)([C@@H]2O)F)O[C@@H]2COC([C@H](C(C)C)N)=O)=O,362.3330000000001,-0.7544000000000002,8,3,4.0,0.5805212553669777,142.69,0.6850957870483398,0.9231596350669861,0.9164927721023559,0.9976025938987731,-5.537204937579134,0.39052769243717195,0.10999885238707066,0.008517956198193132,0.03989596534520388,0.0030935034446883947,46.64771733847816,-5.387305669879573,-2.22590970202468,80.0,优秀
3,3_5'-L-phenylanlany-decitabine,N[C@@H](CC1=CC=CC=C1)C(OC[C@H]2O[C@@H](N3C(N=C(N=C3)N)=O)C[C@@H]2O)=O,375.3850000000001,-1.0178999999999985,9,3,4.0,0.5378857015694112,155.57999999999998,0.6509082853794098,0.7726678609848022,0.8527628183364868,0.9892463088035583,-5.882120555384192,0.36833553910255434,0.09661238119006157,0.014947987906634808,0.024256552383303643,0.007726398552767933,60.68475389520954,-4.292913401436624,-2.2585391488241227,80.0,优秀
4,4_Val-Ala-Asn-decitabine,C[C@@H](C(N[C@@H](CC(N)=O)C(NCOC[C@H]1O[C@@H](N2C(N=C(N=C2)N)=O)C[C@@H]1O)=O)=O)NC([C@H](C(C)C)N)=O,541.5660000000003,-4.192599999999997,12,7,1.0,0.092503809727266,268.9,0.6004833817481995,0.3934513509273529,0.3992921710014343,0.4163333386182785,-6.459612725749229,0.36100498139858245,0.04240122064948082,0.006071422799141146,0.0019405145081691443,0.00010541910455685866,24.268770597728846,-14.062146035214994,-2.4777033602833747,25.0,差
5,5_EMC-Val-Ala-Asn-decitabine,C[C@@H](C(N[C@@H](CC(N)=O)C(NCOC[C@H]1O[C@@H](N2C(N=C(N=C2)N)=O)C[C@@H]1O)=O)=O)NC([C@H](C(C)C)NC(CCCCCN3C(C=CC3=O)=O)=O)=O,734.7679999999999,-3.549699999999996,14,7,1.0,0.038777975383233076,309.35999999999996,0.5471588045358657,0.5156214535236359,0.28915947377681733,0.4935170590877533,-6.143496375452415,0.46935232877731325,0.1851360723376274,0.012248528131749481,0.0071828935411758724,0.0003865826511173509,39.525084024087434,-3.2973139652933234,-4.020884949271002,15.0,差
6,6_EMC-Ala-Ala-Asn-gemcitabine,NC1=NC(N(C=C1)[C@@H](C(F)([C@@H]2O)F)O[C@@H]2COCNC([C@H](CC(N)=O)NC([C@H](C)NC([C@H](C)NC(CCCCCN3C(C=CC3=O)=O)=O)=O)=O)=O)=O,741.706,-3.3355999999999906,13,7,1.0,0.04152591926799432,296.46999999999997,0.681974858045578,0.6496860921382904,0.27206527888774873,0.6872610092163086,-6.1582344189254155,0.5903149962425231,0.4273674011230469,0.05355283170938492,0.011308818263933063,0.000657292358664563,35.01982941699658,21.66038798890283,-4.171576057433106,15.0,差
7,7_EMC-Ala-Ala-Ala-Asn-gemcitabine,O=C(C=C1)N(CCCCCC(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](CC(N)=O)C(NCOC[C@H]2O[C@H](C(F)([C@@H]2O)F)N3C=CC(N)=NC3=O)=O)=O)=O)=O)=O)C1=O,812.7850000000004,-3.830899999999997,14,8,1.0,0.033523331739922176,325.56999999999994,0.6332687497138977,0.5810867369174957,0.28000180423259735,0.5888900578022003,-6.201629656606248,0.5757197201251983,0.39497085809707644,0.0549135155044496,0.006926121283322572,0.0005572488316829549,29.069964906771844,22.49409943127926,-4.12163551528076,15.0,差
